idPNMain,PNG,Name,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,LABEL
283,018.0+20.1,Na 1,12:51.9,-03:16:00.12,258.21625,-3.2667, True PN
284,018.6-02.2,M 3-54,33:03.7,-13:44:19.97,278.26559,-13.73888, True PN
285,018.9+03.6,M 4-8,12:09.6,-10:42:58.28,273.03995,-10.71619, True PN
286,018.9+04.1,M 3-52,10:26.4,-10:29:04.78,272.61005,-10.48466, True PN
287,019.2-04.4,PM 1-251,42:24.8,-14:15:11.81,280.60321,-14.25328, True PN
288,019.2-02.2,M 4-10,34:13.9,-13:12:24.658,278.55775,-13.20685, True PN
289,019.4-05.3,M 1-61,45:55.1,-14:27:37.925,281.47969,-14.46053, True PN
290,019.4-19.6,K 2-7,40:29.5,-20:27:07.2,295.12304,-20.452, True PN
291,019.4-13.6,DeHt 3,17:04.1,-18:01:35.8,289.26713,-18.02661, True PN
292,019.7+03.2,M 3-25,15:17.0,-10:10:09.48,273.82071,-10.1693, True PN
293,019.7-04.5,M 1-60,43:38.1,-13:44:48.62,280.90878,-13.74684, True PN
294,019.8-23.7,Abell 66,57:31.5,-21:36:46.3,299.38125,-21.61286, True PN
295,019.8+05.6,CTS 1,06:59.8,-08:55:32.81,271.74911,-8.92578, True PN
296,019.9+00.9,M 3-53,24:07.9,-11:06:42.08,276.03287,-11.11169, True PN
297,020.2-00.6,Abell 45,30:15.4,-11:36:57.42,277.56427,-11.61595, Likely PN
298,020.4+00.6,PM 1-231,25:58.1,-10:45:28.48,276.492,-10.75791, True PN
299,020.7-05.9,Sa 1-8,50:44.3,-13:31:02.17,282.68463,-13.51727, True PN
300,020.9-01.1,M 1-51,33:29.0,-11:07:26.40,278.37083,-11.124, True PN
301,021.1-05.9,M 1-63,51:30.9,-13:10:36.80,282.87891,-13.17689, True PN
302,021.2-03.9,We 1-7,44:06.2,-12:12:55.44,281.0257,-12.2154, True PN
303,021.7-00.6,M 3-55,33:14.8,-10:15:19.44,278.31155,-10.2554, True PN
304,021.8-00.4,M 3-28,32:41.3,-10:05:50.03,278.17203,-10.09723, True PN
305,021.9+02.7,MaC 1-12,21:21.1,-08:31:42.31,275.33798,-8.52842, True PN
306,022.0-04.3,AS 321,47:04.0,-11:41:11.72,281.76648,-11.68659, True PN
307,022.0-03.1,M 1-58,42:57.0,-11:06:53.10,280.73743,-11.11475, True PN
308,022.1-02.4,M 1-57,40:20.3,-10:39:47.16,280.08438,-10.6631, Likely PN
309,022.5+01.0,MaC 1-13,28:35.2,-08:43:22.84,277.14685,-8.72301, True PN
310,022.5+04.8,MA 2,15:13.4,-06:57:12.20,273.80579,-6.95339, True PN
311,023.0+04.3,MA 3,17:49.4,-06:48:21.56,274.45575,-6.80599, True PN
312,023.3-07.6,MaC 1-16,01:21.8,-11:58:19.99,285.3407,-11.97222, True PN
313,023.8-01.7,K 3-11,41:07.3,-08:55:58.98,280.28046,-8.93305, True PN
314,023.9+01.2,MA 13,30:30.4,-07:27:38.30,277.62662,-7.46064, True PN
315,023.9-02.3,M 1-59,43:20.2,-09:04:48.65,280.83408,-9.08018, True PN
316,024.1+03.8,M 2-40,21:23.8,-06:01:55.78,275.34937,-6.03216, True PN
